ATC_code,applicant,composition,dosage_form,international_name,link_of_instruction,manufacturer,number_of_certificate,original,prescribed,registration_date,storage_list,term_of_usage,trade_name,validity
,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Bisacodyl,субстанция,Bisacodyl,,"JPN Pharma Pvt. Ltd., Индия",1715/13/18,,,24.04.2018,,5 лет,БИСАКОДИЛ,бессрочно
J01DD01,"Pharmaceutical Works POLPHARMA S.A., Польша",Cefotaxime,порошок для приготовления раствора для внутривенных и внутримышечных инъекций 1г во флаконах в упаковке №1,Cefotaxime,"https://rceth.by//NDfiles/instr/5141_01_07_11_12_17_p.pdf,https://rceth.by//NDfiles/instr/5141_01_07_11_12_17_s.pdf","Pharmaceutical Works POLPHARMA S.A., Польша",5141/01/07/11/12/17,генерик,по рецепту,30.10.2017,,2 года,БИОТАКСИМ,бессрочно
G01AX,"ROTAPHARM Limited, Великобритания",Other antiinfectives and antiseptics,"капсулы вагинальные  в блистерах в упаковке №10х1,капсулы вагинальные  во флаконах №10 в упаковке №1",Other antiinfectives and antiseptics,"https://rceth.by//NDfiles/instr/9591_11_11_16_p.pdf,https://rceth.by//NDfiles/instr/9591_11_11_16_s.pdf","Institute of Biotechnology, Sera and Vaccines BIOMED S.A. (IBSS BIOMED S.A.), Польша",9591/11/11/16,оригинальное,без рецепта,28.07.2016,,2 года,БИОСЕЛАК,бессрочно
M02AX10,"Performance Health, LLC, США",Various,"гель для наружного применения  в пакетах 5г в упаковке №100,гель для наружного применения  в тубах 110г в упаковке №1,гель для наружного применения  в тубах 30г в упаковке №1,гель для наружного применения  в тубах 55г в упаковке №1,гель для наружного применения  во флаконах 82г в упаковке №1",Various,"https://rceth.by//NDfiles/instr/7035_04_09_15_16_17_20_p.pdf,https://rceth.by//NDfiles/instr/7035_04_09_15_16_17_20_s.pdf","Troy Manufacturing Inc., США",7035/04/09/15/16/17/20,оригинальное,без рецепта,19.11.2020,,3 года,БИОФРИЗ,бессрочно
J01DC02,"Pharmaceutical Works POLPHARMA S.A., Польша",Cefuroxime,"таблетки, покрытые оболочкой, 125мг в блистерах   в упаковке №5х2, №7х2,таблетки, покрытые оболочкой, 250мг в блистерах   в упаковке №5х2, №7х2,таблетки, покрытые оболочкой, 500мг в блистерах   в упаковке №5х2, №7х2",Cefuroxime,"https://rceth.by//NDfiles/instr/10383_15_17_20_p.pdf,https://rceth.by//NDfiles/instr/10383_15_17_20_s.pdf","Pharmaceutical Works POLPHARMA S.A., Польша",10383/15/17/20,генерик,по рецепту,17.07.2020,,2 года,БИОРАЦЕФ,бессрочно
V04CF01,"Фармстандарт-Биолек ПАО, Украина",Tuberculin,"раствор для внутрикожных инъекций 2ТЕ/доза в ампулах 1мл (10доз) в комплекте: 5 туберкулиновых шприцев с иглами для извлечения, 5 игл для введения в упаковке №1,раствор для внутрикожных инъекций 2ТЕ/доза в ампулах 1мл (10доз), 3мл (30доз) в упаковке №10",Tuberculin,https://rceth.by//NDfiles/instr/6857_04_09_14_19_19_i.pdf,"Фармстандарт-Биолек ПАО, Украина",6857/04/09/14/19/19,оригинальное,для стационаров,08.10.2019,,2 года,БИОЛЕК Туберкулин ППД-Л,бессрочно
J06BA02,"БИОФАРМА ПЛАЗМА ООО, Украина","Immunoglobulins, normal human, for intravascular adm.","раствор для инфузий  во флаконах 25мл, 50мл, 100мл в упаковке №1","Immunoglobulins, normal human, for intravascular adm.","https://rceth.by//NDfiles/instr/9134_09_11_14_16_18_19_20_21_p.pdf,https://rceth.by//NDfiles/instr/9134_09_11_14_16_18_19_20_21_s.pdf","БИОФАРМА ПЛАЗМА ООО, Украина",9134/09/11/14/16/18/19/20/21,оригинальное,по рецепту,26.03.2020,,3 года,БИОВЕН МОНО (ИММУНОГЛОБУЛИН ЧЕЛОВЕКА НОРМАЛЬНЫЙ ЖИДКИЙ ДЛЯ ВНУТРИВЕННОГО ВВЕДЕНИЯ),бессрочно
L01EX02,"Sandoz Pharmaceuticals d.d., Словения",Sorafenib,"таблетки, покрытые пленочной оболочкой, 200мг в блистерах в упаковке №28х4",Sorafenib,"https://rceth.by//NDfiles/instr/10992_21_p.pdf,https://rceth.by//NDfiles/instr/10992_21_s.pdf","Remedica Ltd., Кипр",10992/21,генерик,по рецепту,04.08.2021,,2 года,БИНЕФРАКС,04.08.2026
A11DB,"Бинергия ЗАО, Российская Федерация",Vitamin B1 in combination with vitamin B6 and/or vitamin B12,"раствор для внутримышечного введения  в ампулах 2мл в упаковке №5х1, №5х2",Vitamin B1 in combination with vitamin B6 and/or vitamin B12,"https://rceth.by//NDfiles/instr/11247_23_p.pdf,https://rceth.by//NDfiles/instr/11247_23_s.pdf","Армавирская биофабрика ФКП, Российская Федерация",11247/23,генерик,по рецепту,04.04.2023,,3 года,БИНАВИТ®,04.04.2028
N06AX16,"EGIS Pharmaceuticals PLC, Венгрия",Venlafaxine,"капсулы пролонгированного действия 150мг в блистерах в упаковке №14х2,капсулы пролонгированного действия 75мг в блистерах в упаковке №14х2",Venlafaxine,"https://rceth.by//NDfiles/instr/8643_08_13_17_18_s.pdf,https://rceth.by//NDfiles/instr/8643_08_13_17_18_p.pdf","EGIS Pharmaceuticals PLC, Венгрия",8643/08/13/17/18,генерик,по рецепту,20.04.2018,,5 лет,ВЕЛАКСИН,бессрочно
N06DX02,"KRKA, d.d., Словения",Ginkgo folium,"капсулы 80мг в блистерах в упаковке №10х2, №10х6",Ginkgo folium,"https://rceth.by//NDfiles/instr/7262_05_10_15_17_21_p.pdf,https://rceth.by//NDfiles/instr/7262_05_10_15_17_21_s.pdf","KRKA, d.d., Словения",7262/05/10/15/17/21,генерик,без рецепта,23.04.2021,,3 года,БИЛОБИЛ ФОРТЕ,бессрочно
N06DX02,"KRKA, d.d., Словения",Ginkgo folium,капсулы 120мг в блистерах в упаковке №10х2 №10х6,Ginkgo folium,"https://rceth.by//NDfiles/instr/9658_11_16_p.pdf,https://rceth.by//NDfiles/instr/9658_11_16_s.pdf","KRKA, d.d., Словения",9658/11/16,генерик,без рецепта,28.07.2016,,3 года,БИЛОБИЛ ИНТЕНС,бессрочно
N06DX02,"KRKA, d.d., Словения",Ginkgo folium,"капсулы 40мг в блистерах в упаковке №10х2, №10х6",Ginkgo folium,"https://rceth.by//NDfiles/instr/2056_96_01_06_11_16_p.pdf,https://rceth.by//NDfiles/instr/2056_96_01_06_11_16_s.pdf","KRKA, d.d., Словения",2056/96/01/06/11/16,генерик,без рецепта,05.10.2016,,3 года,БИЛОБИЛ,бессрочно
J06BA02,"БИОФАРМА ПЛАЗМА ООО, Украина","Immunoglobulins, normal human, for intravascular adm.","раствор для инфузий 10% во флаконах 25мл, 50мл, 100мл в упаковке №1","Immunoglobulins, normal human, for intravascular adm.","https://rceth.by//NDfiles/instr/11050_21_s.pdf,https://rceth.by//NDfiles/instr/11050_21_p.pdf","БИОФАРМА ПЛАЗМА ООО, Украина",11050/21,оригинальное,по рецепту,30.09.2021,,3 года,БИОВЕН,30.09.2026
C07FB07,"Лекфарм СООО, Республика Беларусь",bisoprolol and amlodipine,"таблетки 10мг/10мг в контурной ячейковой упаковке №10х3,таблетки 5мг/10мг в контурной ячейковой упаковке №10х3,таблетки 5мг/5мг в контурной ячейковой упаковке №10х3, №15х2",bisoprolol and amlodipine,"https://rceth.by//NDfiles/instr/22_03_2679_s.pdf,https://rceth.by//NDfiles/instr/22_03_2679_p.pdf","Лекфарм СООО, Республика Беларусь",22/03/2679,генерик,по рецепту,01.03.2022,,2 года,БИКАРД АМ,бессрочно
,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Bisacodyl,субстанция,Bisacodyl,,"Cambrex Profarmaco Milano S.r.L., Италия",713/05/10/14/20,не определено,,23.01.2020,,5 лет,БИСАКОДИЛ,бессрочно
S01EA05,"Jadran-Galenski Laboratorij d.d., Республика Хорватия",Brimonidine,"капли глазные 0,2% во флаконах 5мл в упаковке №1",Brimonidine,"https://rceth.by//NDfiles/instr/11060_21_p.pdf,https://rceth.by//NDfiles/instr/11060_21_s.pdf","Jadran-Galenski Laboratorij d.d., Республика Хорватия",11060/21,генерик,по рецепту,15.11.2021,,2 года,БИМАНОКС,15.11.2026
C05CA03,"Рубикон ООО, Республика Беларусь",Diosmin,"таблетки 450мг в контурной  ячейковой упаковке №10х3, №10х6, №10х12",Diosmin,"https://rceth.by//NDfiles/instr/19_10_2223_p.pdf,https://rceth.by//NDfiles/instr/19_10_2223_s.pdf","Рубикон ООО, Республика Беларусь",19/10/2223,генерик,без рецепта,11.10.2019,,3 года,ВЕНОЛЕКС,бессрочно
J01DD04,"Pharmaceutical Works POLPHARMA S.A., Польша",Ceftriaxone,порошок для приготовления раствора для внутривенных и внутримышечных инъекций 1г во флаконах в упаковке №1,Ceftriaxone,"https://rceth.by//NDfiles/instr/5142_01_07_11_12_17_p.pdf,https://rceth.by//NDfiles/instr/5142_01_07_11_12_17_s.pdf","Pharmaceutical Works POLPHARMA S.A., Польша",5142/01/07/11/12/17,генерик,по рецепту,06.09.2017,,2 года,БИОТРАКСОН,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",,субстанция,,,"Белмедпрепараты РУП, Республика Беларусь",15/09/258,,,22.09.2015,,2 года,БИЕН,бессрочно
A13A,"ТАТХИМФАРМПРЕПАРАТЫ АО, Российская Федерация",TONICS,раствор для приема внутрь  во флаконах 100мл в упаковке №1,TONICS,"https://rceth.by//NDfiles/instr/2628_97_02_04_08_12_18_p.pdf,https://rceth.by//NDfiles/instr/2628_97_02_04_08_12_18_s.pdf","ТАТХИМФАРМПРЕПАРАТЫ АО, Российская Федерация",2628/97/02/04/08/12/18,генерик,без рецепта,26.03.2018,,3 года,БЕФУНГИН,бессрочно
C07FB07,"Лекфарм СООО, Республика Беларусь",Bisoprolol and amlodipine,таблетки 10мг/5мг в контурной ячейковой упаковке №10х3,Bisoprolol and amlodipine,"https://rceth.by//NDfiles/instr/22_09_2782_p.pdf,https://rceth.by//NDfiles/instr/22_09_2782_s.pdf","Лекфарм СООО, Республика Беларусь",22/09/2782,генерик,по рецепту,28.09.2022,,2 года,БИКАРД АМ,бессрочно
A06AB02,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Bisacodyl,"таблетки кишечнорастворимые, покрытые пленочной оболочкой, 5мг в контурной ячейковой упаковке №10х3",Bisacodyl,"https://rceth.by//NDfiles/instr/23_01_1263_p.pdf,https://rceth.by//NDfiles/instr/23_01_1263_s.pdf","Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",23/01/1263,генерик,без рецепта,15.08.2019,,3 года,БИСАКОДИЛ,бессрочно
N07CA01,"Pharmacare Int. Co./German Palestinian Joint Venture, Палестина",Betahistine,"таблетки 24мг в блистерах в упаковке 10х2, №10х3, №10х10",Betahistine,"https://rceth.by//NDfiles/instr/9004_09_14_16_20_p.pdf,https://rceth.by//NDfiles/instr/9004_09_14_16_20_s.pdf","Pharmacare PLC, Палестина",9004/09/14/16/20,генерик,по рецепту,19.02.2020,,3 года,БЕТАСТИН,бессрочно
C05CA,"Wroclaw Herb Factory, Herbapol S.A., Польша",Bioflavonoids,драже  в блистерах в упаковке №30х1,Bioflavonoids,"https://rceth.by//NDfiles/instr/6159_03_08_13_18_p.pdf,https://rceth.by//NDfiles/instr/6159_03_08_13_18_s.pdf","Wroclaw Herb Factory, Herbapol S.A., Польша",6159/03/08/13/18,оригинальное,без рецепта,03.12.2018,,3 года,ВЕНЕСЦИН,бессрочно
N07CA01,"Abbott Healthcare Products B.V., Нидерланды",Betahistine,"таблетки 16мг в блистерах в упаковке №15х2,таблетки 24мг в блистерах в упаковке №20х1, №20х3,таблетки 8мг в блистерах в упаковке №30х1",Betahistine,https://rceth.by//NDfiles/instr/8806_08_09_09_11_13_18_i.pdf,"Mylan Laboratories SAS, Франция",8806/08/09/09/11/13/18,оригинальное,по рецепту,20.12.2018,,3 года,БЕТАСЕРК,бессрочно
C05AX03,"НИЖФАРМ АО, Российская Федерация",Other agents for treatment of hemorrhoids and anal fissures for topical use,суппозитории ректальные  в контурной ячейковой  упаковке №5х2,Other agents for treatment of hemorrhoids and anal fissures for topical use,"https://rceth.by//NDfiles/instr/3431_96_01_06_11_16_p.pdf,https://rceth.by//NDfiles/instr/3431_96_01_06_11_16_s.pdf","НИЖФАРМ АО, Российская Федерация",3431/96/01/06/11/16,генерик,без рецепта,02.06.2016,,2 года,БЕТИОЛ,бессрочно
B05D,"Fresenius Medical Care Deutschland GmbH, Германия",PERITONEAL DIALYTICS,"раствор для перитонеального диализа 1,5% глюкозы, 1,75 ммоль/л кальция в системах пластиковых ""sleep safe"" 3000мл в упаковке №4,раствор для перитонеального диализа 1,5% глюкозы, 1,75 ммоль/л кальция в системах пластиковых ""sleep safe"" 5000мл в упаковке №2,раствор для перитонеального диализа 1,5% глюкозы, 1,75 ммоль/л кальция в системах пластиковых ""stay safe"" 2000мл в упаковке №4,раствор для перитонеального диализа 1,5% глюкозы, 1,75 ммоль/л кальция в системах пластиковых ""stay safe"" 2500мл в упаковке №4,раствор для перитонеального диализа 2,3% глюкозы, 1,75 ммоль/л кальция в системах пластиковых ""sleep safe"" 3000мл в упаковке №4,раствор для перитонеального диализа 2,3% глюкозы, 1,75 ммоль/л кальция в системах пластиковых ""sleep safe"" 5000мл в упаковке №2,раствор для перитонеального диализа 2,3% глюкозы, 1,75 ммоль/л кальция в системах пластиковых ""stay safe"" 2000мл в упаковке №4,раствор для перитонеального диализа 2,3% глюкозы, 1,75 ммоль/л кальция в системах пластиковых ""stay safe"" 2500мл в упаковке №4,раствор для перитонеального диализа 4,25% глюкозы, 1,75 ммоль/л кальция в системах пластиковых ""sleep safe"" 3000мл в упаковке №4,раствор для перитонеального диализа 4,25% глюкозы, 1,75 ммоль/л кальция в системах пластиковых ""sleep safe"" 5000мл в упаковке №2,раствор для перитонеального диализа 4,25% глюкозы, 1,75 ммоль/л кальция в системах пластиковых ""stay safe"" 2000мл в упаковке №4,раствор для перитонеального диализа 4,25% глюкозы, 1,75 ммоль/л кальция в системах пластиковых ""stay safe"" 2500мл в упаковке №4",PERITONEAL DIALYTICS,https://rceth.by//NDfiles/instr/8889_09_14_17_18_i.pdf,"Fresenius Medical Care Deutschland GmbH, Германия",8889/09/14/17/18,оригинальное,по рецепту,20.12.2018,,2 года,БИКАВЕРА,бессрочно
D07XC01,"Фармтехнология ООО, Республика Беларусь",Betamethasone,"мазь для наружного применения (0,5мг+30,0мг)/г в тубах 15г, 30г в упаковке №1",Betamethasone,"https://rceth.by//NDfiles/instr/22_11_1874_p.pdf,https://rceth.by//NDfiles/instr/22_11_1874_s.pdf","Фармтехнология ООО, Республика Беларусь",22/11/1874,генерик,по рецепту,22.04.2016,,3 года,БЕТАСАЛИЦИЛИК,бессрочно
L02BB03,"Fresenius Kabi Deutschland GmbH, Германия",Bicalutamide,"таблетки, покрытые  оболочкой, 150мг в блистерах в упаковке №10х3 №14х2",Bicalutamide,https://rceth.by//NDfiles/instr/10202_14_19_i.pdf,"Fresenius Kabi Oncology Limited, Индия",10202/14/19,генерик,по рецепту,14.01.2019,,2 года,БИКАЛУТАМИД-КАБИ,бессрочно
M01AH05,"НИЖФАРМ АО, Российская Федерация",Etoricoxib,"таблетки, покрытые пленочной  оболочкой, 120мг в контурной ячейковой упаковке №10х1,таблетки, покрытые пленочной  оболочкой, 60мг в контурной ячейковой упаковке №10х1, №10х3,таблетки, покрытые пленочной  оболочкой, 90мг в контурной ячейковой упаковке №10х1, №10х3",Etoricoxib,"https://rceth.by//NDfiles/instr/11300_24_s.pdf,https://rceth.by//NDfiles/instr/11300_24_p.pdf","AET Laboratories Pvt. Ltd., Индия",11300/24,генерик,по рецепту,23.01.2024,,3 года,БИКСИТОР,23.01.2029
,"Фармтехнология ООО, Республика Беларусь",Betamethasone,субстанция,Betamethasone,,"Jiaxing Junkang Commerce & Industrial Co., Ltd., Китай",1484/11/16,,,22.08.2016,,3 года,БЕТАМЕТАЗОНА ДИПРОПИОНАТ,бессрочно
,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Betamethasone,субстанция,Betamethasone,,"Zhejiang Xianju Xianle Pharmaceutical Co., Ltd, Китай",1325/10/15/21,не определено,,28.01.2021,,3 года,БЕТАМЕТАЗОНА ДИПРОПИОНАТ,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",Betamethasone,субстанция,Betamethasone,,"Symbiotica Speciality Ingredients Sdn. Bhd., Малайзия",2450/19,не определено,,11.03.2019,,5 лет,БЕТАМЕТАЗОНА ДИПРОПИОНАТ,бессрочно
,"Фармтехнология ООО, Республика Беларусь",Betamethasone,субстанция,Betamethasone,,"Curia Spain S.A.U., Испания",2200/16/22,генерик,,23.12.2016,,5 лет,БЕТАМЕТАЗОНА ВАЛЕРАТ МИКРОНИЗИРОВАННЫЙ,бессрочно
D07XC01,"Киевмедпрепарат ПАО, Украина",Betamethasone,мазь для  наружного  применения  в тубах 15г в упаковке №1,Betamethasone,https://rceth.by//NDfiles/instr/4526_2000_05_10_15_16_19_i.pdf,"Киевмедпрепарат ПАО, Украина",4526/2000/05/10/15/16/19,генерик,по рецепту,29.11.2019,,3 года,БЕТАСАЛИК,бессрочно
,"Минскинтеркапс УП, Республика Беларусь",Beta-carotine,субстанция,Beta-carotine,,"Basf SE, Германия",716/05/10/15/20,не определено,,05.03.2020,,4 года,БЕТА-КАРОТИНА 30% СУСПЕНЗИЯ В МАСЛЕ (ЛУКАРОТИН 30SUN),бессрочно
,"Фармтехнология ООО, Республика Беларусь",Betamethasone,субстанция,Betamethasone,,"Curia Spain S.A.U., Испания",2211/17/22,генерик,,26.01.2017,,5 лет,БЕТАМЕТАЗОНА ДИПРОПИОНАТ МИКРОНИЗИРОВАННЫЙ,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",Betaine hydrochloride,субстанция,Betaine hydrochloride,,"Sunwin Biotech Shandong Co.,Ltd., Китай",729/05/10/14/19,,,19.06.2019,,3 года,БЕТАИНА ГИДРОХЛОРИД (АЦИДИН),бессрочно
D08AG02,"EGIS Pharmaceuticals PLC, Венгрия",Povidone-iodine,мазь 100мг/г в тубах 20г в упаковке №1,Povidone-iodine,"https://rceth.by//NDfiles/instr/2409_97_01_06_11_16_p.pdf,https://rceth.by//NDfiles/instr/2409_97_01_06_11_16_s.pdf","EGIS Pharmaceuticals PLC, Венгрия",2409/97/01/06/11/16,генерик,без рецепта,28.07.2016,,3 года,БЕТАДИН,бессрочно
L02BB03,"Fresenius Kabi Deutschland GmbH, Германия",Bicalutamide,"таблетки, покрытые  оболочкой, 50мг в блистерах в упаковке №10х2",Bicalutamide,https://rceth.by//NDfiles/instr/9530_11_16_i.pdf,"Fresenius Kabi Oncology Limited, Индия",9530/11/16,генерик,по рецепту,02.02.2016,,3 года,БИКАЛУТАМИД-КАБИ,бессрочно
D08AG02,"EGIS Pharmaceuticals PLC, Венгрия",Povidone-iodine,"раствор для наружного применения 100мг/мл во флаконах с капельницей 1000мл,раствор для наружного применения 100мг/мл во флаконах с капельницей 30мл, 120мл в упаковке №1",Povidone-iodine,"https://rceth.by//NDfiles/instr/9727_97_01_06_11_14_16_p.pdf,https://rceth.by//NDfiles/instr/9727_97_01_06_11_14_16_s.pdf","EGIS Pharmaceuticals PLC, Венгрия",9727/97/01/06/11/14/16/21,генерик,без рецепта,28.06.2016,,3 года,БЕТАДИН,бессрочно
N05AL01,"Гриндекс АО, Латвия",Sulpiride,"таблетки 100мг в блистерах в упаковке №10х3,таблетки 200мг в блистерах в упаковке №10х3,таблетки 50мг в блистерах в упаковке №10х3",Sulpiride,"https://rceth.by//NDfiles/instr/10647_18_23_s.pdf,https://rceth.by//NDfiles/instr/10647_18_23_p.pdf","Гриндекс АО, Латвия",10647/18/23,генерик,по рецепту,05.04.2023,,5 лет,БЕТАМАКС,бессрочно
N07CA01,"Maxpharma Baltija UAB, Литовская Республика",Betahistine,"таблетки 16мг в контурной ячейковой  упаковке №10х3,таблетки 8мг в контурной  ячейковой упаковке №10х3",Betahistine,"https://rceth.by//NDfiles/instr/9570_11_16_17_20_s.pdf,https://rceth.by//NDfiles/instr/9570_11_16_17_20_p.pdf","Intas Pharmaceuticals Ltd., Индия",9570/11/16/17/20,генерик,по рецепту,07.09.2016,,2 года,БЕТАГИСТИН-МАКСФАРМА,бессрочно
N07CA01,"Лекфарм СООО, Республика Беларусь",Betahistine,"таблетки 16мг в контурной  ячейковой упаковке №10х3,таблетки 24мг в контурной  ячейковой упаковке №10х3,таблетки 8мг в контурной  ячейковой упаковке №10х3, №15х2",Betahistine,"https://rceth.by//NDfiles/instr/21_12_2486_s.pdf,https://rceth.by//NDfiles/instr/21_12_2486_p.pdf","Лекфарм СООО, Республика Беларусь",21/12/2486,генерик,по рецепту,15.12.2020,,2 года,БЕТАГИСТИН-ЛФ,бессрочно
S01ED02,"Novartis Pharma AG, Швейцария",Betaxolol,"капли глазные суспензия 0,25% во флаконах-капельницах 5мл в упаковке №1",Betaxolol,"https://rceth.by//NDfiles/instr/3127_98_03_08_13_17_18_s.pdf,https://rceth.by//NDfiles/instr/3127_98_03_08_13_17_18_p.pdf","s.a. ALCON-COUVREUR n.v., Бельгия",3127/98/03/08/13/17/18,оригинальное,по рецепту,05.03.2018,,2 года,БЕТОПТИК С,бессрочно
G01AX11,"EGIS Pharmaceuticals PLC, Венгрия",Povidone-iodine,"суппозитории вагинальные 200мг в блистерах в упаковке №7х1, №7х2",Povidone-iodine,"https://rceth.by//NDfiles/instr/9728_97_01_06_11_16_p.pdf,https://rceth.by//NDfiles/instr/9728_97_01_06_11_16_s.pdf","EGIS Pharmaceuticals PLC, Венгрия",9728/97/01/06/11/16,генерик,без рецепта,07.09.2016,,5 лет,БЕТАДИН,бессрочно
,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Betahistine,субстанция,Betahistine,,"Olon S.p.A., Италия",1563/12/16/17,,,16.12.2016,,3 года,БЕТАГИСТИНА ДИГИДРОХЛОРИД,бессрочно
,"Ферейн СОАО, Республика Беларусь",Betamethasone,субстанция,Betamethasone,,"Symbiotica Speciality Ingredients Sdn. Bhd., Малайзия",2223/17,не определено,,02.03.2017,,5 лет,БЕТАМЕТАЗОНА НАТРИЯ ФОСФАТ,бессрочно
N07CA01,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Betahistine,"таблетки 16мг в контурной  ячейковой упаковке №10х3,таблетки 24мг в контурной  ячейковой упаковке №10х3,таблетки 8мг в контурной  ячейковой упаковке №10х3",Betahistine,"https://rceth.by//NDfiles/instr/23_11_2384_s.pdf,https://rceth.by//NDfiles/instr/23_11_2384_p.pdf","Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",23/11/2384,генерик,по рецепту,28.07.2020,,2 года,БЕТАГИСТИН,бессрочно
N07CA01,"Фармтехнология ООО, Республика Беларусь",Betahistine,"таблетки 16мг в контурной ячейковой упаковке №10х3,таблетки 24мг в контурной ячейковой упаковке №10х3,таблетки 8мг в контурной ячейковой упаковке №10х3",Betahistine,"https://rceth.by//NDfiles/instr/20_11_2524_p.pdf,https://rceth.by//NDfiles/instr/20_11_2524_s.pdf","Фармтехнология ООО, Республика Беларусь",20/11/2524,генерик,по рецепту,02.11.2020,,2 года,БЕТАГИСТИН,бессрочно
A05AX,"Падис`C ООО, Республика Беларусь",Other drugs for bile therapy,измельченное сырье   40г в пачке,Other drugs for bile therapy,"https://rceth.by//NDfiles/instr/23_07_3307_p.pdf,https://rceth.by//NDfiles/instr/23_07_3307_s.pdf","Падис`C ООО, Республика Беларусь",23/07/3307,генерик,без рецепта,26.07.2023,,4 года,БЕССМЕРТНИКА ПЕСЧАНОГО ЦВЕТКИ,26.07.2028
,"Фармтехнология ООО, Республика Беларусь",Betahistine,субстанция,Betahistine,,"Grunenthal GmbH, Германия",1859/14/19,,,27.06.2019,,3 года,БЕТАГИСТИНА ДИГИДРОХЛОРИД,бессрочно
,"Лекфарм СООО, Республика Беларусь",Betahistine,субстанция,Betahistine,,"Ami Lifesciences Pvt. Ltd, Индия",2160/16,,,14.09.2016,,5 лет,БЕТАГИСТИНА ДИГИДРОХЛОРИД,бессрочно
A05AX,"БелАсептика ЗАО, Республика Беларусь",Other drugs for bile therapy,цельное сырье  30г в пачке,Other drugs for bile therapy,"https://rceth.by//NDfiles/instr/19_05_1591_p.pdf,https://rceth.by//NDfiles/instr/19_05_1591_s.pdf","БелАсептика ЗАО, Республика Беларусь",19/05/1591,генерик,без рецепта,23.05.2019,,4 года,БЕССМЕРТНИКА ПЕСЧАНОГО ЦВЕТКИ,бессрочно
A05AX,"БИОТЕСТ НПК ООО, Республика Беларусь",Bile therapy,"цельное сырье  30г, 35г в пачке",Bile therapy,"https://rceth.by//NDfiles/instr/17_11_603_p.pdf,https://rceth.by//NDfiles/instr/17_11_603_s.pdf","БИОТЕСТ НПК ООО, Республика Беларусь",17/11/603,генерик,без рецепта,30.11.2017,,4 года,БЕССМЕРТНИКА ПЕСЧАНОГО ЦВЕТКИ,бессрочно
,"Лекфарм СООО, Республика Беларусь",Betahistine,субстанция,Betahistine,,"Enal Drugs Pvt. Ltd., Индия",1682/12/17/18,,,16.10.2017,,5 лет,БЕТАГИСТИНА ДИГИДРОХЛОРИД,бессрочно
R03AL01,"Boehringer Ingelheim International GmbH, Германия",Fenoterol and ipratropium bromide,аэрозоль дозированный для ингаляций 20мкг+50мкг/доза во флаконах 10мл (200доз) в упаковке №1,Fenoterol and ipratropium bromide,https://rceth.by//NDfiles/instr/6012_02_05_07_12_17_17_i.pdf,"Boehringer Ingelheim Pharma GmbH & Co. KG, Германия",6012/02/05/07/12/17/17,оригинальное,по рецепту,06.09.2017,,3 года,БЕРОДУАЛ Н,бессрочно
A05AX,"Падис`C ООО, Республика Беларусь",Other drugs for bile therapy,"порошок крупный  1,2г в фильтр-пакетах №20 в пачке",Other drugs for bile therapy,"https://rceth.by//NDfiles/instr/19_06_2105_p.pdf,https://rceth.by//NDfiles/instr/19_06_2105_s.pdf","Падис`C ООО, Республика Беларусь",19/06/2105,генерик,без рецепта,26.06.2019,,4 года,БЕССМЕРТНИКА ПЕСЧАНОГО ЦВЕТКИ,бессрочно
A05AX,"Падис`C ООО, Республика Беларусь",Other drugs for bile therapy,цельное сырье  30г в пачке,Other drugs for bile therapy,"https://rceth.by//NDfiles/instr/19_06_1528_p.pdf,https://rceth.by//NDfiles/instr/19_06_1528_s.pdf","Падис`C ООО, Республика Беларусь",19/06/1528,генерик,без рецепта,26.06.2019,,4 года,БЕССМЕРТНИКА ПЕСЧАНОГО ЦВЕТКИ,бессрочно
,"Минскинтеркапс УП, Республика Беларусь",Beta-carotine,субстанция,Beta-carotine,,"DSM Nutritional Products France, Village-Neuf, Франция",53/01/10/15/20,не определено,,17.07.2020,,3 года,БЕТА-КАРОТИНА 30% СУСПЕНЗИЯ В МАСЛЕ,бессрочно
C09AA02,"Berlin-Chemie AG, Германия",Enalapril,"таблетки 5мг в блистерах в упаковке №10х3, №10х5, №10х10",Enalapril,"https://rceth.by//NDfiles/instr/1579_96_98_99_04_09_15_19_20_s.pdf,https://rceth.by//NDfiles/instr/1579_96_98_99_04_09_15_19_20_p.pdf","Berlin-Chemie AG, Германия",1579/96/98/99/04/09/15/19/20,генерик,по рецепту,16.09.2020,,3 года,БЕРЛИПРИЛ 5,бессрочно
